time,ee_x,ee_y,ee_z,chassis_x,chassis_y,chassis_yaw
0.9463133811950684,0.12276361351824755,0.10914993979109436,1.0899260231618029,0.0,0.0,0.0
0.9529421329498291,0.12278868457877767,0.10914570084301109,1.0898824535365401,0.0,0.0,0.0
0.9595973491668701,0.12282657855702889,0.10913942404710253,1.0898282834745818,2.1694759574039138e-08,5.7115959146379274e-08,-4.203672317402331e-22
0.9664592742919922,0.12286648450195588,0.10913240689012238,1.0897758692237567,4.307183987981261e-08,1.0303780135667072e-07,-1.2661398378566865e-21
0.9732041358947754,0.1229035462676027,0.10912523419958385,1.089729108882898,6.653397424174535e-08,1.4151146439763895e-07,9.149148212339657e-20
0.9803292751312256,0.12293594284978518,0.10911818318982425,1.0896887714007217,9.119260479776886e-08,1.6861334600976898e-07,1.665028608472784e-19
0.986854076385498,0.12296335073499302,0.10911137929235591,1.0896545107368767,1.1680588636956421e-07,1.8422575718225022e-07,8.181264201863487e-20
0.9941174983978271,0.12298610430033237,0.10910487841622712,1.0896256368921806,1.4313506074066615e-07,1.8824694913154462e-07,1.676110934164585e-19
1.0006284713745117,0.12300499125263396,0.10909864043929839,1.0896013653849608,1.6996196618192942e-07,1.8065582220006255e-07,1.6810439496592507e-19
1.007371187210083,0.12302077051058943,0.10909282528622267,1.089580952792552,1.9614888050282987e-07,1.5878556736006602e-07,1.7773956143493606e-19
1.014327049255371,0.12303370308366299,0.10908732595830671,1.089563890633079,2.212890456542582e-07,1.213970349818929e-07,2.214386836307773e-19
1.02095627784729,0.12304418905466447,0.10908212403007465,1.0895496540005953,2.4664281192339193e-07,8.222085217538116e-08,2.8516192229581826e-19
1.02789306640625,0.12304153268139335,0.10907794512880498,1.089540479352946,2.7204442022663445e-07,3.283183804079369e-08,1.5710158009083773e-19
1.0346629619598389,0.12300847998616223,0.10907770038296925,1.0895398261998672,3.2157140620210837e-07,-4.728432883367788e-08,1.603256441857057e-19
1.041640043258667,0.1229457712274652,0.10907388929235354,1.089546547018018,4.679244131934688e-07,4.509454476784201e-07,1.9727526197770918e-19
1.0486717224121094,0.12282237924748873,0.10907061082055136,1.089566030430759,6.884036917134148e-07,6.327649654579104e-07,1.5428267211558696e-19
1.055586338043213,0.12271173793561221,0.10905933830717603,1.0895846227307873,1.1233896818358253e-06,1.0278929106289743e-06,8.418253577899811e-20
1.0623722076416016,0.12261274276496192,0.10904805546311923,1.089601294750916,1.4969044713464865e-06,8.131563746175961e-07,9.44566537083072e-20
1.069521188735962,0.12252222832209596,0.10903792909879624,1.0896167176443765,1.8896685693811762e-06,5.618058685765111e-07,7.382506138534507e-20
1.0763463973999023,0.12243895471939586,0.10902939296762122,1.08963109487268,2.2989903048225976e-06,2.9111768661967337e-07,4.027224669154326e-20
1.1013031005859375,0.12237745157148201,0.10902802838934914,1.0896415376783302,2.7236389357648834e-06,5.243903860846926e-09,1.703612980407422e-20
1.1133387088775635,0.12232526410037496,0.10902890487440685,1.089650492240476,3.1178564050288656e-06,3.066033621803579e-07,1.7756382543796232e-20
1.1432340145111084,0.12226378233931581,0.10902538645788737,1.089661350527395,3.520048075110472e-06,6.583096958911143e-07,7.192582243118958e-20
1.1448090076446533,0.12224094586352184,0.1090241452385635,1.0896653103027674,3.975473337978513e-06,4.2943596096913123e-07,6.792385548480259e-20
1.1513729095458984,0.1222286020737872,0.10902378749861942,1.0896676747414136,4.2791987068539725e-06,1.2945335232647934e-07,1.937506834949632e-19
1.1580498218536377,0.12222143376412446,0.10902364661310555,1.0896691335966056,4.58170882099727e-06,-1.754549172018264e-07,1.490792445167608e-19
1.164832592010498,0.12220124168828835,0.10901795101264831,1.089673384836369,4.882806026765994e-06,-4.856670124743457e-07,1.879120522505909e-19
1.1720447540283203,0.12219439119171076,0.10901683707616695,1.0896747994698386,5.221795313110742e-06,-1.4375019768183429e-06,1.9449987787632482e-19
1.1785104274749756,0.12219127738352517,0.10901633525623768,1.089675494014735,5.526162252691852e-06,-1.850123569278427e-06,2.986860600393136e-19
1.185176134109497,0.1221899467175293,0.10901620506393582,1.0896758205390915,5.829787099295717e-06,-2.2634622917462755e-06,2.2936496911927604e-19
1.1919808387756348,0.12218950133997271,0.10901618479421717,1.0896759491062524,6.132804056977933e-06,-2.6760618438136186e-06,2.4838941027619057e-19
1.198746919631958,0.12218946847431156,0.10901622055692678,1.089675987205091,6.435632107342946e-06,-3.0858957508773546e-06,1.7012366896438467e-19
1.205881118774414,0.12218965741512314,0.10901630971876876,1.0896759817817552,6.738273237327827e-06,-3.4927510057886324e-06,1.0596929003492225e-19
1.2506053447723389,0.12218999782474857,0.10901643795923686,1.0896759473367457,7.040658925204824e-06,-3.89779721529777e-06,1.2735657680453648e-19
1.251798152923584,0.12219043041969763,0.10901658288958042,1.0896758917404992,7.3427493360053755e-06,-4.3011519168501535e-06,1.9229434271290348e-19
